Text,Lemmatized Text,Clusters(K Means),Clusters(DBSCAN)
çözüm odaklı yoğun çalışma temposuna ayak uydurabilecek,çöz odak yoğun çalış tempo ay uydur,2,0
şirketimizin tasarım bölümünde çalışabilecek,şirket tasar bölüm çalış,2,0
LED aydınlatma alanında tecrübeli,led aydınlat alan tecrübe,1,0
öğrenmeye istekli araştırmaya açık,öğren istek araştır açık,1,1
yıllık faaliyet raporunun hazırlanması,yıllık faaliyet rapor hazır,1,1
farklı departmanlar sürekli koordinasyon bulunup,fark departman sürekli koordinasyon bulun,1,1
şirkete değer yaratan süreçlerin optimizasyonu,şirket değ yarat süreç optimizasyon,1,1
cfoya rapor verir,cfo rapor ver,1,1
minimum 10 yıl deneyimli,minimum 10 yıl deneyim,1,0
tercihen 5 yıl üretim şirketi tecrübesi,tercihen 5 yıl üretim şirket tecrübe,1,0
lokasyonlu yapıları yönetmiş,lokasyon yapı yönet,1,1
IFRS TFRS uygulamalarına hakim,IFRS TFRS uygula hakim,1,1
office programlarına uzman düzeyde hakim,office program uzman düzey hakim,1,1
SMM  CMA belgesi  ACCA belgesi  CPA belgelerinden tanesine sahip olan,SMM CMA belge ac belge CPA belge tane sahip olan,5,0
eta ticari programını kullanabilen tercihen,eta ticari program kullan tercihen,3,0
planlama organizasyon becerisi yüksek öğrenmeye açık,planla organizasyon beceri yüksek öğren açık,1,1
cumartesi günü çalışılmasına engeli olmayan,cumartesi gün çalış engel olmayan,2,0
endüstri mühendisliği bölümlerinden mezun olmuş,endüstri mühendis bölüm mezun ol,1,1
ERP MS office autocad programlarını kullanabilen,ERP ms office autocad program kullan,3,0
şirketimizin üretim bölümünde çalışabilecek,şirket üretim bölüm çalış,2,0
tercihen LED aydınlatma alanında tecrübeli,tercihen led aydınlat alan tecrübe,1,0
elektrik elektronik bölümlerinden mezun olmuş,elektrik elektronik bölüm mezun ol,1,1
şirketimizin AR-GE üretim alanında çalışabilecek,şirket AR-GE üretim alan çalış,2,0
üniversitelerin bölümlerinden mezun lisansönlisans,üniversite bölüm mezun lisans önlisans,1,1
tercihen MİKRO yazılım projelerinde görev almış ERP uygulamaları konusuna hakim,tercihen mikro yazılı proje görev al ERP uygula konu hakim,1,0
tercihen genel muhasebe üretim MRP personel konularında deneyimli mevzuata hakim,tercihen genel muhasebe üretim MRP personel konu deneyim mevzuat hakim,1,0
takım çalışması iletişime önem veren,tak çalış iletişim önem ver,2,0
araştırmacı analitik düşünme çözüm üretme becerilerine sahip,araştırma analitik düşün çöz üret beceri sahip,5,0
erkek adaylar askerlik hizmetini tamamlamış 3 yıl tecil ettirmiş,erkek aday asker hizmet tamamla 3 yıl tecil et,0,6
3 ay deneme süresi sonunda 2 yıllık sözleşme şartını kabul,3 ay deneme sür sonunda 2 yıllık sözleş şart kabul,1,1
üretim tecrübesi olan,üretim tecrübe olan,4,0
iyi derecede gerber kullanabilen,iyi derece gerber kullan,3,0
tercihen 3D sisteminde ürün giydirerek,tercihen 3D sistem ürün giy,1,1
sanal prova yapabilen,sanal prova yap,1,0
yenilikçi araştırmayı seven,yenilik araştırma sev,1,1
askerliğini yapmış,* asker yap,1,0
iletişim becerileri yüksek dinamikdikkatliöğrenmeye açık takım çalışmasına yatkın sistemli düzenli çalışmayı ilke edinmiş,* iletişim beceri yüksek dinamik dikkatli öğren açık tak çalış yatkın sistem düzenli çalış ilk edin,2,0
reklam pazarlama satış aktivitelerini yürütebilecek,reklam pazarla satış aktivite yürüt,1,1
hedef çözüm odaklı çalışabilen,hedef çöz odak çalış,2,0
analiz edebilme problemi yerinde çözme becerisi olan,analiz et problem yerinde çöz beceri olan,0,0
network kabiliyeti olan,network kabiliyet olan,4,0
üniversitelerin makine endüstri mühendisliği bölümleri nden mezun,üniversite maki endüstri mühendis bölüm ' n mezun,1,1
TPM tecrübesi olan,TPM tecrübe olan,4,0
sistemli düzenli çalışma yeteneği olan,sistem düzenli çalış yetenek olan,4,0
teknik malzeme satınalması yapmış,teknik malzeme satınal yap,1,0
satın alma teknikleri stratejilerine hakim,sat al teknik strateji hakim,1,1
tedarikçi denetim geliştirme çalışmalarına katılmak,tedarik denet geliştir çalış katıl,2,0
kalite sistemine uygun satınalma evraklarını hazırlamak,kalite sistem uygun satınal evrak hazırla,1,1
meslek lisesi mezunu,meslek lise mezun,1,1
çözüm odaklı öğrenmeye açık,çöz odak öğren açık,1,1
çatalcada plastik gıda ambalajı yaptığımız firmamızda üretimde yetiştirilmek ustausta yardımcıları alınacaktır,çatalca plastik gıda ambalaj yap firma üretim yetiş usta usta yardımcı alın,1,0
başvuru değerleme uzmanı adaylarının SPK verilen gayrimenkul değerleme uzmanlığı lisansına sahip tecrübe koşulunu sağlamış TDUB tevsik belgesine sahip,başvuru değerle uzma aday spk ver gayrimenkul değerle uzman lisans sahip tecrübe koşul sağla TDUB tevsik belge sahip,5,0
rapor kontrol sorumlusu başvuracak adayların 5 yıl tecrübeli 5 yıllık TDUB tevsik belgesine sahip,rapor kontrol sorumlu başvur aday 5 yıl tecrübe 5 yıllık TDUB tevsik belge sahip,5,0
ekip çalışmasına uygun araştırmacı dinamik,ekip çalış uygun araştırma dinamik,2,0
şirketimiz merkez ofisinde görevlendirilmek,şirket merkez ofis görevlen,1,1
ŞOFÖR arıyoruz,şoför ara,1,1
golf dondurma kariyerin tadını çıkarmak isteyenleri bakım mühendisi bursa fabrikamıza bekliyor pozisyon uygun adayların taşıması gereken özellikler,golf dondurma kariyer tat çıkar iste bakı mühendis bur fabrika bekle pozisyon uygun aday taşı gerek özellik,1,1
araştırmacı takipçi analitik düşünme becerisi gelişmiş öğrenmeye açık istekli,araştırma takip analitik düşün beceri geliş öğren açık istek,1,1
teknik proje takip yönetme kabiliyeti bulunan,teknik proje takip yönet kabiliyet bulun,1,1
monitors and improves channels business kpıs and digital NPS,monitors and improves channels ' business kpıs and digital NPS,1,1
tercihen meslek lisesi MYO mezunu,tercihen meslek lise myo mezun,1,1
üniversitelerin bölümlerinden önlisans mezunu,üniversite bölüm önlisans mezun,1,1
kumaş boya apre bilgisine sahip,kumaş boya apre bilgi sahip,5,0
analitik bakış planlama raporlama yetenekleri kuvvetli,analitik bakış planla raporla yetenek kuvvet,1,1
planlı dikkatli çalışma yeteneğine sahip,plan dikkatli çalış yetenek sahip,5,0
dış görünümüne özen gösteren prezentabl,dış görünüm özen göster prezentabl,1,1
güleryüzlü enerjik yapıya sahip olan,güleryüz enerjik yapı sahip olan,5,0
etkili olma,etki ol,1,1
ikna etme becerisine sahip,ikna et beceri sahip,0,0
MYO tercihen üniversitelerin bölümlerinden mezun,myo tercihen üniversite bölüm mezun,1,1
minimum alanda 5 yıl iş tecrübesi,minimum ala 5 yıl iş tecrübe,1,0
yurtiçi- yurtdışı yeni projelerde nihai bütçenin uygulanması kontrolünü sağlamak,yurtiçi yurtdışı yeni proje nihai bütçe uygula kontrol sağla,1,1
yurtiçi yurtdışı iş geliştirme faaliyetlerinde bulunmak,yurtiçi yurtdışı iş geliştir faaliyet bulun,1,1
fuarcılık direktörü fuarcılık müdürü arayışımız bulunmaktadır,fuarcılık direktör fuarcılık müdür ara bulun,1,1
titiz detaylara önem veren  dikkatli,titiz detay önem ver dikkatli,1,1
4 yıllık lisans mezunu ZORUNLU sektörümüzde çalışabilmesi zorunludur,4 yıllık lisans mezun zorunlu sektör çalış zorunlu,2,0
araç kullanmayı bilen ehliyeti olan,araç kullan bil ehliyet olan,3,0
HP switchlerini yönetme,hp switch yönet,1,1
TCPIP ospf BGP protokoller,TCP ıp ospf BGP protokol,1,1
çözüm odaklı,* çöz odak,1,1
torna freze kullanabilen,torna freze kullan,3,0
elektrot kaynağı yapabilen,elektrot kaynak yap,1,0
üretim tesislerindeki mekanik arızaların giderilmesi,üretim tesis mekanik arıza gider,1,1
periyodik bakımların uygulanması,periyodik bakım uygula,1,1
iletişim temsil sunum becerisi güçlü,iletişim temsil sunu beceri güçlü,1,1
yıl hemşirelik deneyimi olan,yıl hemşire deney olan,4,0
takım çalışmasına uyum sağlayabilecek gelişime açık,tak çalış uyum sağla gelişim açık,2,0
yeni doğan yoğun bakım hemşiresi aranmaktadır,yeni doğ yoğun bakı hemşire aran,1,1
perakende sektöründe kariyer planlaması olan,perakende sektör kariyer planla olan,4,0
takı &amp aksesuar modasını takip ilgi duyan,tak & amp aksesuar moda takip ilgi duy,1,1
mağazanın görsel standartlarının uygulanmasından,mağaza görsel standart uygula,1,1
ürün takibi reyonların düzeninden sorumlu,ürün takip reyon düzen sorumlu,1,1
müşteri beklentilerini iyi karşılamak,müşteri beklenti iyi karşıla,1,1
müşterileri kampanyalar hakkında bilgilendirmek yönlendirmek,müşteri kampanya hakkında bilgilen yönlen,1,1
diş protez teknisyeni bölümü mezunu,diş protez teknisyen bölü mezun,1,1
etik sonuç odaklı çalışan,etik sonuç odak çalış,2,0
erişkin yoğun bakım ünitesi tecrübesi olan cerrahi servis hemşiresi aranmaktadır,erişkin yoğun bakı ünite tecrübe olan cerrahi servis hemşire aran,4,0
raporlama muhasebe bilgisi olan,raporla muhasebe bilgi olan,4,0
tercihen MEDULA bilgisi olan,tercihen medula bilgi olan,4,0
sorumluluk sahibi dikkatli titiz,sorumluluk sahip dikkatli titiz,5,0
sürücü ehliyetli aktif araç kullanabilen,sür ehliyet aktif araç kullan,3,0
enerjisi özgüveni iletişim becerileri markamızı iyi temsil edebilecek işinde fark yaratacak yetkinliklere sahip,enerji özgüven iletişim beceri marka iyi temsil et iş fark yarat yetkin sahip,0,0
modayı takip dış görünümüne özen gösteren,moda takip dış görünüm özen göster,1,1
projeleri uygulama raporlama konularında yetkin,proje uygula raporla konu yetkin,1,0
öğretmenlik pedagoji formasyonu olan,öğretmen pedagoji formasyon olan,4,0
mebin öngördüğü stajyer öğretmenlik eğitimini tamamlamış olan,meb öngör stajyer öğretmen eğitim tamamla olan,4,0
işbirliği eşgüdüm çalışabilen,işbirliği eşgüdüm çalış,2,0
alanla yenilikleri izleyen,ala yenilik izle,1,1
iletişim yönü güçlü özgüveni yüksek,iletişim yön güçlü özgüven yüksek,1,1
tercihen 1 yıl perakende satış tecrübesine sahip,tercihen 1 yıl perakende satış tecrübe sahip,5,0
dış görünüş kişisel imajına özen gösteren,dış görünüş kişisel imaj özen göster,1,1
beyoğlu lokasyonuna ulaşım problemi olmayan,beyoğlu lokasyon ulaş problem olmayan,1,1
iletişim temsil yetkinliğine sahip,iletişim temsil yetkin sahip,5,0
sistemli düzenli çalışma yeteneğine sahip,sistem düzenli çalış yetenek sahip,5,0
iş takibi konusunda güvenen,iş takip konu güven,1,0
bayan asistan istihdam edilecektir,bayan asistan istihdam et,0,0
tercihen revir tecrübesi bulunan,tercihen revir tecrübe bulun,1,0
mimari tasarım yeteneği yüksek,mimari tasar yetenek yüksek,1,1
ankaradaki ofisimizde çalışmak ekip arkadaşları aramaktayız,ankara ofis çalış ekip arkadaş ara,2,0
sistem entegrasyonu projelerinde çalışmış,sistem entegrasyon proje çalış,2,0
enerji sektöründe teknik malzeme satın alımı konusunda tecrübe sahibi,enerji sektör teknik malzeme sat al konu tecrübe sahip,5,0
malatyada ikamet edenedebilecek olan,malatya ikamet et et olan,0,0
fotoğrafçılık video çekimi çıktılarının işlenmesinde deneyim sahibi,fotoğraf video çek çıktı işle dene sahip,5,0
SAP MS office uygulamalarına hakim,sap ms office uygula hakim,1,1
bay bayan adaylar,bay bayan aday,1,1
kariyer hedefi olan kişisel gelişime açık,kariyer hedef olan kişisel gelişim açık,4,0
otelcilik tecrübesi olan,otel tecrübe olan,4,0
güleryüzlü ekip çalışmasına önem veren,güleryüz ekip çalış önem ver,2,0
operasyon departmanlarında vardiya sisteminde çalışabilecek,operasyon departman vardiya sistem çalış,2,0
şirketimizin ankara merkez ofisinde görevlendirilmek,şirket ankara merkez ofis görevlen,1,1
iç denetim müdürü aramaktayız,iç denet müdür ara,1,1
benzer pozisyonlarda 2-3 yıl deneyimi olan,benzer pozisyon 2-3 yıl deney olan,4,0
yeni ürün teknolojileri geliştirmeye istekli,yeni ürün teknoloji geliştir istek,1,1
teknolojik yeniliklere kolay uyum sağlayabilen,teknolojik yenilik kolay uyum sağla,1,1
balıkesirde ikamet edenedebilecek olan,balıkesir ikamet et et olan,0,0
ekip yönetimi liderlik becerileri gelişmiş,ekip yönet lider beceri geliş,1,1
sosyal mecraların yönetimine hakim,sosyal mecra yönetim hakim,1,1
aynı anda hesap yönetebilecek,aynı an hesap yönet,1,1
analiz becerileri gelişmiş,analiz beceri geliş,1,1
yeni fikirler geliştirmeyi seven,yeni fikir geliştir sev,1,1
sosyal medya stratejisidili oluşturma sunma konusunda deneyimli,sosyal medya strateji dil oluş sun konu deneyim,1,0
şikayet platformlarını düzenli kontrol edip,şikayet platform düzenli kontrol et,0,0
müşteri memnuniyeti gerekli aksiyonları alabilecek,müşteri memnuniyet gerekli aksiyon al,1,1
süreç tamamlanana takibini yapabilecek,süreç tamam takip yap,1,0
talaşlı imalata hakim,talaş imalat hakim,1,1
torna freze tezgahlarını kullanmayı iyi derecede bilen,torna freze tezgah kullan iyi derece bil,3,0
ölçü aletlerine hakim,ölçü alet hakim,1,1
parçaların gereken tesviye işlerini,parça gerek tesviye iş,1,1
torna tezgahının gerekli yağlamaları bakımları temizliğini gerçekleştirmek,torna tezgah gerekli yağla bakım temiz gerçek,1,1
denetim raporlama becerisi gelişmiş,denet raporla beceri geliş,1,1
ERP uygulamalarına hakim,ERP uygula hakim,1,1
denizli ikamet,denizli ' ikamet,1,1
baybayan eleman arayışımız vardır,bay bayan eleman ara var,1,1
HPLC GC analitik cihazlarını kullanabilen,HPLC gc analitik cihaz kullan,3,0
finans alanında 3 yıl deneyim sahibi,finans alan 3 yıl dene sahip,5,0
nakit akış tabloları bütçe raporlama tekniklerine hakim,nakit ak tablo bütçe raporla teknik hakim,1,1
MS ofis uygulamaları konusunda tecrübeli,ms ofis uygula konu tecrübe,1,0
disiplinli takipçi takım çalışmasına yatkın,disiplin takip tak çalış yatkın,2,0
problem çözme liderlik vasıflarına sahip,problem çöz lider vasıf sahip,5,0
sorumluluk sahibi güvenen azimli hırslı,sorumluluk sahip güven azim hırs,5,0
gelişime mesleki yeniliklere açık,gelişim mesleki yenilik açık,1,1
organizasyon planlama yeteneği güçlü,organizasyon planla yetenek güçlü,1,1
zaman yönetimi konusunda uzman,zaman yönet konu uzman,1,0
lisesi mezunutercihen yüksek okul mezunu olan,lise mezun tercihen yüksek okul mezun olan,4,0
MS offıce uygulamalarını hakim,ms offıce uygula hakim,1,1
dekorasyon kaba yapı şantiyelerinde görevlendirilecek,dekorasyon kaba yapı şantiye görevlen,1,1
istanbul dışı şantiyelerde çalışabilecek türkiye geneli,istanbul dış şantiye çalış türki genel,2,0
iş ekip organizasyonu yapabilen,iş ekip organizasyon yap,1,0
ekibini kurabilecek,ekip kur,1,1
minimum 10 sene kalfalık deneyimi olan,minimum 10 se kalfa deney olan,4,0
MVC entity framework MSSQL html5 CSS3 bootstrap javascript jquery JSON SOAP REST konularında tecrübeli,MVC entity framework mssql html5 CSS3 bootstrap javascript jquery JSON SOAP rest konu tecrübe,1,0
redis memcached nosql veritabanı kullanmış,redis memcached nosql veritabanı kullan,3,0
sistematik planlı çalışan,sistematik plan çalış,2,0
yeni teknolojileri öğrenme konusunda hevesli,yeni teknoloji öğren konu heves,1,0
dinamik titiz disiplinli dikkatli çalışabilen,dinamik titiz disiplin dikkatli çalış,2,0
nebim V3 ERP teknik fonksiyonlarına hakim,nebi V3 ERP teknik fonksiyon hakim,1,1
antalyada ikamet edebilecek olan,antalya ikamet et olan,0,0
farklı projelerde net uygulama geliştirmiş,fark proje net uygula geliştir,1,1
5 yıl aspnet tecrübesi olan,5 yıl asp.net tecrübe olan,4,0
entegrasyon projelerinde görev almışsoap,entegrasyon proje görev al soap,1,1
rest servis mimarilerine hakim,rest servis mimari hakim,1,1
yazılım mimarisini bileşenleri hazırlayacak,yazılı mimari bileşen hazırla,1,1
transact SQL SQL deneyimli,transact SQL SQL deneyim,1,1
sqlserver tecrübesi olan,sqlserver tecrübe olan,4,0
erkek adaylar askerlik görevini tamamlamış takım arkadaşı aramaktayız,erkek aday asker görev tamamla tak arkadaş ara,1,1
bankamız bünyesinde görevlendirmek,banka bünye görevlen,1,1
tercihen opengl qt MFC XML bilgisine sahip olan,tercihen opengl qt MFC XML bilgi sahip olan,5,0
mevcut ürünlerimizin desteklenmesi,mevcut ürün destekle,1,1
ev hizmetlerinde deneyimi olan,ev hizmet deney olan,4,0
dış görünümüne kişisel hijyenine özen gösteren,dış görünüm kişisel hijyen özen göster,1,1
düzenli sistemli çalışan,düzenli sistem çalış,2,0
istanbul – anadolu yakası ikamet,istanbul anadol yak ikamet,1,1
belirli sürelerde yatılı çalışabilecek,belirli süre yatılı çalış,2,0
büyükada lokasyonundaki yerleşkede görev alabilecek iç hizmetli arayışımız bulunmaktadır,büyükada lokasyon yerleşke görev al iç hizmet ara bulun,1,1
iyi derecede almanca bilen,iyi derece almanca bil,1,1
tekstil sektöründe yönetici asistanlığı alanında deneyimli,tekstil sektör ' yönet asistan ' alan deneyim,1,1
SAP SD MM WM PM TM modül danışmanlığında 2 yıl 3 proje deneyimi olan,sap sd mm WM pm tm modül danışman 2 yıl 3 proje deney olan,4,0
analitik düşünebilen ekip çalışmasına yatkın,analitik düşün ekip çalış yatkın,2,0
tercih ETA SQL hakim,tercih eta SQL hakim,1,1
tercihen meslek okullarının makina  torna - freze bölümlerinden bölümlerinden mezun değilse MYK CNC programcılığı seviye 4 seviye 5 belgesi olan,tercihen meslek okul makina torna freze bölüm bölüm mezun değil myk CNC program sevi 4 sevi 5 belge olan,4,0
düzenli disiplinli çalışma alışkanlığı olan,düzenli disiplin çalış alışkan olan,4,0
hammadde parçaları makinelere uygun bağlamak,hammadde parça makine uygun bağla,1,1
sürecin prosedür talimatlara uygun işleyişini sağlamak,süreç prosedür talimat uygun işle sağla,1,1
tele-satış operasyonunda çalışmış,tele-satış operasyon çalış,2,0
tercihen tıbbi terminoloji bilgisi olan,tercihen tıbbi terminoloji bilgi olan,4,0
telefonda hizmet vermekten keyif alan,telefon hizmet ver keyif al,1,1
etkili iletişim kurabilen telefonda satışı seven,etki iletişim kur telefon satış sev,1,1
güler yüzlü iletişimi güçlü,gül yüz iletişim güçlü,1,1
uzmanlar özel yalova hastanesi nde görevlendirmek,uzman özel yalova hastane ' n görevlen,1,1
tele satış görevlisi aranmaktadır,tel satış görev aran,1,1
kurumsal şirket bünyesinde minimum 5 yıl çalışma tecrübesi olan,kurum şirket bünye minimum 5 yıl çalış tecrübe olan,4,0
ERP program uygulamasında yetkin tecrübeli,ERP program uygula yetkin tecrübe,1,0
yazılı sözlü iletişimi güçlü organizasyon planlama becerisi gelişmiş,yazılı sözlü iletişim güçlü organizasyon planla beceri geliş,1,1
HTML sayfası editleyebilecek HTML5 CSS3 bilgi tecrübesine sahip,html sayfa editleyebilecek html5 CSS3 bilgi tecrübe sahip,5,0
tercihen 2 yabancı dil bilen,tercihen 2. yabancı dil bil,1,1
tercihen yalova gölcük ikamet edebilecek,tercihen yalova gölcük ikamet et,0,0
dikkatli özverili çalışacak,dikkatli özveri çalış,2,0
kişisel çevresel bakımını önemseyen,kişisel çevre bakım önemse,1,1
bilgisayar ofis ekipmanlarını kullanabilen,bilgisayar ofis ekipman kullan,3,0
muhasebe programlarını bilen,muhasebe program bil,1,1
chemya su kimya teknolojileri AŞ almanyadaki 35 yıllık sektör tecrübesini 2009 yıllından bugüne türkiyeye taşımış sektöründe lider firmadır,chemya su kimya teknoloji aş almanya 35 yıllık sektör tecrübe 2009 yıl bugün türkiye taşı sektör lider firma,1,0
muhasebe elemanı arıyoruz,muhasebe eleman ara,1,1
pazarlama alanında kariyer hedefleyen,pazarla alan kariyer hedefle,1,1
sık seyahat edebilecek,sık seyahat et,0,0
gümrük işlemlerini takip etmek gerekli prosedürlerin getirilmesini sağlamak,gümrük işlem takip et gerekli prosedür getir sağla,0,0
gümrük süreçlerini bilen işleyişine hakim,gümrük süreç bil işle hakim,1,1
perakende mağazacılık FMCG gıda sektörlerinde deneyime sahip,perakende mağazacılık FMCG gıda sektör deney sahip,5,0
takım arkadaşları uyumlu çalışabilecek,tak arkadaş uyum çalış,2,0
talaşlı imalat yöntemlerini iyi bilen teknik resim okuyabilen,talaş imalat yöntem iyi bil teknik resim oku,1,1
ölçü aletlerini kullanabilen,ölçü alet kullan,3,0
cnc torna işleme merkezi tecrübeli,cnc torna işle merkezi tecrübe,1,0
doğru takım yolları çıkarma konusunda bilgili malzeme işe doğru kesici takımların seçilmesi doğru ilerleme pasonun verilmesi noktasında tecrübe bilgi sahibi,doğru tak yol çıkar konu bilgi malzeme işe doğru kes takım seçil doğru ilerle paso ver nokta tecrübe bilgi sahip,5,0
gerektiğinde manuel parça programı yazabilen,gerek manuel parça program yaz,1,1
gerektiğinde parçaların sıfırlama koordinatlarının tezgaha girilmesi,gerek parça sıfırla koordinat tezgah gir,1,1
web tabanlı yazılım geliştirme projelerinde tecrübeli,web taban yazılı geliştir proje tecrübe,1,0
iyi derecede MVC ASPNET C# html ajax CSS bilgisine sahip,iyi derece MVC ASP net C# html ajax CSS bilgi sahip,5,0
veritabanı tasarımı programlaması konusunda deneyimli,veritabanı tasar programla konu deneyim,1,0
markayı iyi temsil edebilecek,marka iyi temsil et,0,0
minimum 6 yıl yazılım geliştirme deneyimi olan,minimum 6 yıl yazılı geliştir deney olan,4,0
java min 4 yıl programlama dilinde deneyimi olan,java mi 4 yıl programla dil deney olan,4,0
microservice mimarisi konseptlerini bilen microserviceli mimaride çalışmış,microservice mimari konsept bil microservice mimari çalış,2,0
HTML javascript proje deneyimi olan,html javascript proje deney olan,4,0
literatürü takip edebilecek seviyede ingilizce bilen,literatür takip et seviye ingilizce bil,0,0
ıot ekibinde çalışır,ıot ekip çalış,2,0
zaman içerisinde ihtiyaç duyulan iyileştirici,zaman içeri ihtiyaç duy iyi,1,1
performans verim artırıcı çalışmaları yapar,performans veri artır çalış yap,2,0
scrum takımı içerisinde çevik çalışma prensipleri çalışır,scrum tak içeri çevik çalış prensip çalış,2,0
iletişimi insan ilişkileri iyi olan,iletişim insan ilişki iyi olan,4,0
grup çalışmasına yatkın,grup çalış yatkın,2,0
sayısal yönü ağır basan,sayısal yön ağır bas,1,1
bilgisayar kullanma konusunda iyi yetenekleri olan,bilgisayar kullan konu iyi yetenek olan,3,-1
teknik resim okumasını yorumlamasını bilen,teknik resim oku yorumla bil,1,1
çalışkan güvenen elemanlar aramaktayız,çalışkan güven eleman ara,1,1
yeni kumaş araştırma faaliyetlerini yürütecek,yeni kumaş araştır faaliyet yürüt,1,1
sporcu beslenmesi alanında 2 yıl iş tecrübesine sahip,sporcu besle alan 2 yıl iş tecrübe sahip,5,0
sözlü yazılı iletişim kurma becerisine sahip,sözlü yazılı iletişim kur beceri sahip,5,0
haftada 5 gün yarı zamanlı çalışabilecek adaylar aranmaktadır,hafta 5 gün yarı zaman çalış aday aran,2,0
gıda hammaddeleri sektörüne hâkim,gıda hammadde sektör hakim,1,1
pazar ilkelerinin hazırlanmasına pazarlama stratejisinin sağlanmasına hâkim,pazar ilke hazır pazarla strateji sağ hakim,1,1
ilişki yönetimi güçlü,ilişki yönet güçlü,1,1
iletişim temsil yeteneği kuvvetli olan,iletişim temsil yetenek kuvvet olan,4,0
organizasyonel gelişim süreç iyileştirme geliştirme alanlarında deneyimli,organizasyonel gelişim süreç iyi geliştir alan deneyim,1,1
analitik düşünen organizasyon ekibi yönetebilen güçlü organizasyon planlama yeteneğine sahip,analitik düşün organizasyon ekip yönet güçlü organizasyon planla yetenek sahip,5,0
acente portföyüne sahip çalışma arkadaşı arıyoruz,acente portföy sahip çalış arkadaş ara,5,0
işletmemiz yaratıcı dinamik paylaşımcı ekipçe çalışma becerisi yüksek hizmet sektöründe çalışabilecek baybayan çalışma arkadaşı arıyoruz,işletme yarat dinamik paylaşım ekip çalış beceri yüksek hizmet sektör çalış bay bayan çalış arkadaş ara,2,0
ofisin muhasebe işlerini yürütecek,ofis muhasebe iş yürüt,1,1
ihracatların yönetim takibini sağlayacak,ihracat yönet takip sağla,1,1
yönetici asistanlığı görevini üstlenecek,yönet asistan görev üstlen,1,1
gerektiğinde ofis dışındaki işlerle ilgilenecek,gerek ofis dış iş ilgilen,1,1
işini severek yapan muhasebe asistanı aranıyorilanla ilgilenen adayların kısa tanıtım yazısıyla birlikte cvlerini emre@eoconcept com adresine mail atmaları rica olunur,iş sev yap muhasebe asistan aran ilan ilgilen aday kısa tanıt yazı birlikte cv emir ?eoconcept com adres mail at rica ol,1,0
analitik düşünebilen raporlama yeteneğine sahip,analitik düşün raporla yetenek sahip,5,0
istanbul anadolu yakası gebzede ikamet,istanbul anadol yak gebze ikamet,1,1
operasyonel yönü güçlü detaylara önem veren takipçi,operasyonel yön güçlü detay önem ver takip,1,1
son 1 ay çalışmıyor,son 1 ay çalış,2,0
tercihen temel düzeyde SQL bilen,tercihen temel düzey SQL bil,1,1
tercihen ticari yazılımda teknik destek verecek niteliklere sahip,tercihen ticari yazılı teknik destek ver nitelik sahip,5,0
güleryüzlü dinamik ekip çalışmasına yatkın,güleryüz dinamik ekip çalış yatkın,2,0
planlama organizasyon raporlama yeteneklerine sahip,planla organizasyon raporla yetenek sahip,5,0
tercihen lise dengi okul mezunu,tercihen lise denk okul mezun,1,1
özellikle excel programını iyi bilen,özellikle excel program iyi bil,1,1
talaşlı imalat üretim konusunda 5 yıl tecrübeye  sahip,talaş imalat üretim konu 5 yıl tecrübe sahip,5,0
CNC tezgâh kullanma programlaması konusunda tecrübeli,CNC tezgah kullan programla konu tecrübe,3,-1
üretim malzeme planlama konusunda deneyimli,üretim malzeme planla konu deneyim,1,0
IATF 16949 standardının işleyişi konusunda bilgi sahibi,IATF 16949 standart işle konu bilgi sahip,5,0
yalın üretim tekniklerini sahada uygulamış olan,yalın üretim teknik saha uygula olan,4,0
yönettiği ekibin gelişimini sağlayacak,yönet ekip gelişim sağla,1,1
alanında 10 yıl deneyimi,alan 10 yıl deney,1,0
proaktif dinamik çalışma ortamlarına uyum sağlayacak,proaktif dinamik çalış ortam uyum sağla,2,0
3 vardiyalı çalışabilecek olan,3 vardiya çalış olan,4,0
yoğun iş temposuna takım çalışmasına yatkın,yoğun iş tempo tak çalış yatkın,2,0
gebze darıca çayırova tuzla kaynarcaya servisimiz vardır,* gebze darı çayırova tuzla kaynarca servis var,1,1
insanlarla iletişimi ikna yeteneği yüksek,insan iletişim ikna yetenek yüksek,1,1
üniversitelerin tıp fakültesi bölümlerinden mezun,üniversite tıp fakülte bölüm mezun,1,1
mecburi hizmet yükümlülüğü bulunmayan,mecburi hizmet yüküm bulun,1,1
zorunlu hizmetini tamamlamış,zorunlu hizmet tamamla,1,1
kamu kurumlarında çalışmayan,kamu kurum çalış,2,0
devlet&vakıf üniversitesinde uzmanlık eğitiminde olmayan,devlet & vakıf üniversite uzman eğitim olmayan,1,1
istanbulda ikamet edenedebilecek olan,istanbul ikamet et et olan,0,0
hekim aramaktayız,hekim ara,1,1
analitik düşünme becerileri gelişmiş,analitik düşün beceri geliş,1,1
B sınıfı sürücü ehliyetine sahipaktif araç kullanabilen,b sınıf sür ehliyet sahip aktif araç kullan,3,2
şubenin marka kalite standartları doğrultusunda çalışmasını sağlayarak karlılık verimlilik hedeflerine ulaşılması gerekli aksiyonların alınması şube bütçesinin tamamının yönetiminden sorumlu,şube mark kalite standart doğrultu çalış sağla kar verim hedef ulaş gerekli aksiyon alın şube bütçe tamam yönetim sorumlu,2,0
